-1	 8.930 -10.773 28.438 65.481 -40.462 57.801 69.903 12.813 44.048 55.212 60.887 29.278 82.317 46.585 60.230 75.480 -13.300 95.641 -13.002 35.795 54.554 28.985 -40.605 91.458 34.263 23.044 20.751 80.324 54.193 19.408 -22.984 79.805 83.630 68.368 52.566 13.004 -63.367 40.839 69.471 78.224 
-1	13.846 -10.195 29.228 87.080 -61.262 80.835 13.801 86.387  6.188 69.139 47.693 90.992 43.637 49.356 43.377 24.551 -22.886 80.106 -78.878 17.341 92.448 30.155 -56.370 70.333 29.302 29.387 98.897 88.276 33.461 26.467 -52.702 29.837 54.369 93.172 69.560 -48.116 -46.696 82.837 74.149 20.835 
-1	69.268 -11.551 29.107 95.147 -47.828 62.936 63.880  9.180 76.383 48.364 69.386 76.814 89.745 17.274 75.567 90.473 -15.632 21.612 -53.380 13.560 56.290 82.540 -12.063 26.348 67.790 88.187 43.957 90.914 62.069 96.287 -90.909 78.546 80.670 28.400 45.713 -102.671 -90.035 37.109 96.059 69.838 
-1	71.911 -11.405 29.709 95.695  4.978 42.765 69.914 72.520 93.893 17.228 42.535  6.475 31.358 13.225 50.533 46.039 -20.998 74.928 -29.189 47.103 96.573 49.887 -29.045  9.339 42.502 21.649 20.956 88.516 44.981 25.456 -59.091 29.734 37.258 45.164 38.152 -27.989 -4.322 86.466 57.912  8.766 
-1	86.567 -10.743 25.912 54.806 -72.368 35.889 79.675  7.805  1.369 37.537 20.018 99.411 72.073 84.797 83.749 72.214 -19.493  8.299 -70.970 66.709 23.265 53.789 -85.023 56.941 88.103 52.407 91.738 66.915 71.794  6.151 -40.958 93.867 42.524 87.657 88.080 -84.162 -6.785 28.290 96.444 82.662 
-1	32.399 -10.320 27.678 11.432 -11.038 91.659 64.695 27.471  5.000 78.240 88.762 63.155 22.929 48.026  2.664  5.884 -19.190  8.376 -60.843 23.645 32.063 51.580 -94.614 55.901 44.867 90.399 10.880 71.287 59.641 32.734 -31.928 12.073 71.478 19.783 65.445  1.490 -47.605 36.846 99.791 43.191 
-1	49.927 -10.985 27.649 79.865 -69.875 15.346 94.722 96.943  8.175 23.696 72.862 98.630 16.724 92.175 77.951  1.179 -17.998 36.783  7.285 19.428  3.937 17.981 -33.474 60.890 74.272 85.621 49.012 74.744 65.427 71.555 -45.413 85.813 15.712 57.238 49.508 -29.560 -27.338 87.988 27.012 30.858 
-1	66.558 -11.317 28.486 77.274 97.602 32.442 87.835 85.472 40.981 77.298 72.315 94.441 16.356 12.531 33.097 40.026 -19.404 94.442 63.636 68.903  7.371 67.384 -3.618 16.282  0.998 94.249  5.379 25.461 95.445  4.961 47.789 71.398 53.893 40.104 83.466 21.601 63.566 42.478 57.772 83.774 
-1	 8.703 -10.466 28.508 77.392 112.229 20.171 73.908 91.702 43.389  7.646 62.516 13.810 53.802 64.256 48.153 99.513 -16.058 17.304 63.095 58.325 15.320 54.650 -11.487 99.488 91.777 15.584 35.745 49.168 34.403 53.983 55.208 77.523 56.126 41.207 76.190 45.805 60.903  6.841  9.353 45.654 
 1	77.090  8.408 -33.549 70.263 -37.484 84.412 39.984 98.913 17.159 26.685  8.216 72.029 74.402 15.436 71.356 93.533 11.738 81.747 -78.159 77.713 65.036 16.553 -7.590 34.850  2.969 39.083 22.612 95.401 94.623 58.601 -26.569  8.643 51.715 18.888 98.738 -68.761 -7.529 93.805 10.228  8.149 
 1	80.860  9.713 -34.226 77.446 -110.387 46.530 37.841 65.224 56.665 12.513 41.409 97.549 17.421 99.144 80.749 72.414  9.407 26.031 -49.449 38.572 33.010  6.064 -48.383 44.072 77.967 99.862 78.441 39.073 74.904 11.296 -82.475 38.403 97.190 69.782 61.302 -50.988 -33.277 18.593 75.604 10.759 
-1	48.087 -10.998 26.462  0.386 82.159 95.960 31.939 28.176 95.351 38.328 11.601 10.115 73.524 24.863 91.780 94.093 -16.893  0.627 18.492  0.470  6.973 14.063 -3.335 68.603 17.488 18.188 38.890 29.990 91.600 94.802 87.545 48.187 22.229 70.336 13.938  8.413 50.115 98.296 17.156 98.211 
 1	35.821  8.666 -34.270 81.213 59.795  1.327 20.648 45.104 35.615 82.096 14.381 40.686 65.081 85.191  0.627 27.750  8.930 65.544 28.751 10.787 93.862 96.757 88.385 67.633 68.940 42.708 17.002 79.251 22.022 70.437 72.298 19.001 20.528 89.124 65.365 98.776 76.613 15.970 18.534 61.460 
 1	93.873  8.617 -32.253  5.033 -51.106 12.951 75.579  7.465 49.661 26.131 13.056 22.019 81.534 78.443 76.295 39.460  5.014 10.391 -106.643  9.266 31.075 55.273 -105.443 28.121 18.528 26.004 73.127 19.013 63.322 44.571 -97.698 38.003 19.222 16.189 72.874 -43.661 -55.840 86.380 18.005 28.073 
-1	20.893 -10.101 26.707 94.059 -86.803 91.385 95.234 54.904 96.475  8.714 88.712 61.139 94.254 89.788 58.284 23.850 -19.949 62.987 -71.344 76.121 87.935 59.925 -21.572 14.836 23.881 32.577  3.609 17.885 86.735 65.653 -1.145 50.732 36.314 26.572 45.829 -91.633 -50.675 64.188 57.189  5.665 
 1	 9.712  8.536 -30.372 15.461 -57.806 19.259 42.186 20.746 97.988  3.738 18.560  4.396 10.904 84.208 32.687 77.615  5.590 81.956 16.654 79.334 31.739 50.019 -14.048  3.815 18.198 10.445 51.822 20.062 93.675 38.688 -100.591 41.309 48.693 41.966 25.563 -38.193 -66.943 30.620 54.796 39.330 
 1	56.279  8.779 -31.697 72.740 108.640 43.795 87.799 52.850 22.023 38.390 28.785  7.460 73.679 19.241 31.525  6.759  7.719 68.365 21.677 48.607 78.635 33.161 92.198 87.030 53.526  8.771 37.101 60.327 40.576 16.527 72.970 84.251 59.784 95.164 87.726 47.871 78.114  2.421 43.638 17.477 
 1	16.746  8.006 -33.796 15.469 -23.535 32.771 12.452 85.697 87.849 70.323 46.604 92.140 61.253 94.169 67.844 49.571 11.188 30.184 -93.149 34.357  6.662 97.251 -4.725 35.270 34.959 16.733 75.184 15.393  5.612 55.366 -27.109 23.409 90.209 71.847 69.125 -46.125 15.493 94.801 92.799 39.052 
 1	73.882  9.585 -31.197  6.341 31.173 75.724 74.094 46.222 22.449 84.977 81.415 65.389 31.807 20.315 14.996  8.750  5.328 70.793 53.310 74.123 39.470 67.357 30.658 92.444 16.882  5.162 27.213 84.456 79.730 88.300 82.430 55.242  8.620 12.920 28.770  6.514 28.375 56.893 28.706 39.385 
 1	95.497  9.204 -32.027 38.489 94.432 19.293 28.111 19.028 47.517 81.226 32.440 61.646 78.860 49.302 34.183 62.156 11.599 66.050 84.704 11.461 75.955 11.049 48.381 55.382 60.926 87.919 10.283 57.177 92.274 38.521 18.629 55.782 81.286 91.457 69.564 33.575 44.666 25.772 49.082 18.776 
-1	22.455 -10.424 27.882 45.772 21.648 71.873 37.216  9.011 86.756  2.837 78.165 66.341  7.360  9.909 97.337 31.667 -20.118 91.920 68.355 36.426 37.388 71.557 40.220 74.647 55.098 32.882 37.564 74.563 54.090 76.330 56.503 95.927 46.135 18.519 56.991 17.496 -3.615 16.664 32.340 35.728 
-1	28.625 -11.350 28.697 10.033 -80.760 21.802 98.442 41.217 90.610 63.824 54.084 95.225 32.133  9.048 35.927  9.218 -17.128 90.025 -22.577 83.576 43.309 89.593 -15.015 51.475 23.937 65.664 70.402 62.107 83.945 23.173 -46.915 18.989  9.570 29.172 90.412 -28.803 -38.635 44.034 45.880 29.807 
-1	24.425 -10.251 29.076 27.545 -87.508 63.066 72.369 22.427 65.682 93.578 85.597 26.033  2.624 19.597 87.140 91.895 -17.007 32.323 -55.178 96.555 16.154 98.574 -67.337 13.971 84.130 55.031 59.308 82.169 29.285 85.285 -47.583 13.514 13.519 62.754  8.112 -61.361 -105.243 18.033  1.494  9.999 
-1	48.318 -10.526 27.191 71.964  7.610 55.121 98.620 91.153 88.189 51.179 93.304 34.335 47.140 55.542 59.435 13.853 -13.449 33.300 -96.331 41.394 97.290 83.292  4.114 11.172 17.707 91.071 90.403 60.506 96.128 47.637 -68.448 81.143 21.310  6.439 15.223 -44.900 -30.064  7.162 81.957 55.938 
-1	20.227 -10.734 27.264 36.154 -18.551 10.795 61.390  5.550 71.834 17.054 34.657 65.698 67.401 79.049 63.736 99.786 -21.390 76.039 -85.834 53.299 40.095 76.619 -71.806 87.883 41.412 41.900  8.701 71.455 31.400 64.525 -76.738 31.584 24.735 83.958 75.445 -90.751 -88.302 37.777 94.653 17.790 
 1	32.637  9.419 -34.748 38.556 16.299 64.791 22.961 50.367 23.962 63.462 54.174  7.052 21.607 52.086 31.007 84.510  4.722 89.827 42.688  3.184 25.524 15.041 63.569 75.886 30.415 43.433 46.148 96.026 15.250 24.532 95.861 20.396 24.568 88.815 64.063 46.629 62.182 44.941 22.298 13.494 
 1	15.069  9.494 -31.373  9.276 -26.202 93.036 23.232 74.768 97.793 69.206 86.213 33.279 87.374 34.503 13.924 68.746  6.111 67.620 -72.414  0.539 84.126  5.357 -20.477 26.171 63.033 75.146 37.454 73.893 19.163 70.632  0.703 89.570 48.057 94.736 97.320 -57.838 -22.099 33.873 46.573 20.338 
