param n := 50;
param k1 := 26;
param k2 := 42;
param k3 := 45;

param M3 := 37;
param M2 := 694;
param M1 := 14706;
param b3p := 1683;
param b3 := 1684;
#param b2p := 31525;
#param b2 := 31526;
#param bp := 428587;
#param b := 428588;

param: p1   p2   p3   r   := 
1  1  1  1  -1
2  1  1  1  0
3  1  1  1  1
4  1  1  2  -1
5  1  1  2  0
6  1  1  2  1
7  1  1  3  -1
8  1  1  3  0
9  1  1  3  1
10  1  2  1  -1
11  1  2  1  0
12  1  2  1  1
13  1  2  2  -1
14  1  2  2  0
15  1  2  2  1
16  1  2  3  -1
17  1  2  3  0
18  1  2  3  1
19  1  3  1  -1
20  1  3  1  0
21  1  3  1  1
22  1  3  2  -1
23  1  3  2  0
24  1  1  1  -1
25  1  1  1  0
26  1  1  1  1
27  1  1  2  0
28  1  1  2  1
29  1  1  3  -1
30  1  1  3  1
31  1  2  1  -1
32  1  2  1  0
33  1  2  1  1
34  1  2  2  -1
35  1  2  2  0
36  1  2  2  1
37  1  2  3  -1
38  1  3  1  -1
39  1  3  1  0
40  1  3  1  1
41  1  3  2  1
42  1  3  3  -1
43  1  3  3  0
44  1  3  3  1
45  2  1  1  -1
46  2  1  1  0
47  2  1  1  1
48  2  1  2  -1
49  2  1  2  1
50  2  1  3  0;
