param n := 50;
param k1 := 26;
param k2 := 42;
param k3 := 48;

param M3 := 36;
param M2 := 647;
param M1 := 13753;
param b3p := 1742;
param b3 := 1743;
#param b2p := 29563;
#param b2 := 29564;
#param bp := 400894;
#param b := 400895;

param: p1   p2   p3   r   := 
1  1  1  1  -1
2  1  1  1  0
3  1  1  1  1
4  1  1  2  -1
5  1  1  2  0
6  1  1  2  1
7  1  1  3  -1
8  1  1  3  0
9  1  1  3  1
10  1  2  1  -1
11  1  2  1  0
12  1  2  1  1
13  1  2  2  -1
14  1  2  2  0
15  1  2  2  1
16  1  2  3  -1
17  1  2  3  0
18  1  2  3  1
19  1  3  1  -1
20  1  3  1  0
21  1  3  1  1
22  1  3  2  -1
23  1  3  2  0
24  1  1  1  -1
25  1  1  2  -1
26  1  1  2  0
27  1  1  2  1
28  1  1  3  0
29  1  2  1  -1
30  1  2  1  0
31  1  2  2  -1
32  1  2  2  1
33  1  2  3  -1
34  1  2  3  0
35  1  2  3  1
36  1  3  1  -1
37  1  3  1  0
38  1  3  2  -1
39  1  3  2  1
40  1  3  3  -1
41  1  3  3  0
42  1  3  3  1
43  2  1  1  -1
44  2  1  1  0
45  2  1  2  -1
46  2  1  2  0
47  2  1  2  1
48  2  1  3  -1
49  2  1  3  0
50  2  2  1  -1;
