param n := 50;
param k1 := 30;
param k2 := 45;
param k3 := 53;

param M3 := 34;
param M2 := 645;
param M1 := 13871;
param b3p := 1819;
param b3 := 1820;
#param b2p := 31489;
#param b2 := 31490;
#param bp := 461490;
#param b := 461491;

param: p1   p2   p3   r   := 
1  1  1  1  -1
2  1  1  1  0
3  1  1  1  1
4  1  1  2  -1
5  1  1  2  0
6  1  1  2  1
7  1  1  3  -1
8  1  1  3  0
9  1  1  3  1
10  1  2  1  -1
11  1  2  1  0
12  1  2  1  1
13  1  2  2  -1
14  1  2  2  0
15  1  2  2  1
16  1  2  3  -1
17  1  2  3  0
18  1  2  3  1
19  1  3  1  -1
20  1  3  1  0
21  1  3  1  1
22  1  3  2  -1
23  1  3  2  0
24  1  1  1  0
25  1  1  1  1
26  1  1  2  -1
27  1  1  2  0
28  1  1  3  -1
29  1  1  3  0
30  1  1  3  1
31  1  2  1  -1
32  1  2  1  1
33  1  2  2  -1
34  1  2  2  0
35  1  2  3  0
36  1  2  3  1
37  1  3  1  0
38  1  3  2  0
39  1  3  2  1
40  1  3  3  -1
41  1  3  3  0
42  1  3  3  1
43  2  1  1  -1
44  2  1  1  0
45  2  1  1  1
46  2  1  2  -1
47  2  1  2  0
48  2  1  2  1
49  2  1  3  0
50  2  1  3  1;
